Question,Answer,type,Inside_Intent
hike,"If you have a question on your paycheck, please contact Payroll at info@excelityglobal.com.",0,0
my hike,"If you have a question on your paycheck, please contact Payroll at info@excelityglobal.com.",0,0
What can you tell about paycheck,"If you have a question on your paycheck, please contact Payroll at info@excelityglobal.com.",0,0
paycheck,"If you have a question on your paycheck, please contact Payroll at info@excelityglobal.com.",0,0
Why isn't my pay change showing in my paycheck?,"If the change is effective after the current pay period or was submitted after payroll was complete, you'll see the change on your next paycheck. If a retroactive increase is",0,1
pay change,"If the change is effective after the current pay period or was submitted after payroll was complete, you'll see the change on your next paycheck. If a retroactive increase is",0,1
isn't my pay change,"If the change is effective after the current pay period or was submitted after payroll was complete, you'll see the change on your next paycheck. If a retroactive increase is",0,1
How do I change my direct deposit information?,"From the HR Portal, select the Pay & Time tab then click on Direct Deposit Elections.",0,2
direct deposit information?,"From the HR Portal, select the Pay & Time tab then click on Direct Deposit Elections.",0,2
direct deposit,"From the HR Portal, select the Pay & Time tab then click on Direct Deposit Elections.",0,2
Where can I download my payslip ?,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
payslip,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
Where can I find my payroll related forms ?,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
Where can I find my payslip or payslips ?,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
How much Tax is getting deducted from my pay each month ?,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
Where can I declare my Investment ?,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
income tax,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
Where can I see my Income Tax computation sheet ?,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
Where will I find the IT computation ?,"  You can access and download your payroll statements like payslip/Form 16/IT computation etc. by following the path given below, on Syncranet: XYZ HR Portal --> Pay & Time --> Access your payroll site. XYZ ",0,3
Who the payroll manager for the site.,Your payroll manager is Mr.Sher Singh.,1,
payroll manager,Your payroll manager is Mr.Sher Singh.,1,
